restaurant_id,name,zone_id,district,category,price_level,base_prep_time_mean_min,base_prep_time_std_min,capacity_tier,has_consistent_promo,promo_pattern,matchday_sensitivity,latency_pressure_factor
R0001,Cara Hub 0001,Z11,Carabanchel,fast_food,1,11.2,2.2,medium,false,random_flash,high,1.06
R0002,River Stack 0002,Z02,Arganzuela,burger,1,14.4,2.4,small,false,random_flash,low,1.25
R0003,Central Mesón 0003,Z01,Centro,spanish_tapas,3,17.9,3.3,small,false,none,medium,1.22
R0004,Bernabeu Burger 0004,Z05,Chamartín,burger,3,11.9,2.3,medium,false,none,medium,0.99
R0005,Horta Taquería 0005,Z16,Hortaleza,mexican,1,12.2,3.2,large,false,none,medium,0.74
R0006,Chamberi Casa 0006,Z07,Chamberí,spanish_tapas,3,18.2,3.5,medium,false,none,medium,1.24
R0007,Vallecas Patty 0007,Z13,Puente de Vallecas,burger,1,15.1,2.1,small,false,none,high,0.88
R0008,Lineal Taberna 0008,Z15,Ciudad Lineal,spanish_tapas,1,18.6,3.5,small,false,none,medium,1.42
R0009,Villa Tokyo 0009,Z18,Villa de Vallecas,sushi,1,20.9,4.4,medium,false,none,medium,0.78
R0010,Aero Corner 0010,Z21,Barajas,fast_food,1,11.3,2.1,medium,true,lunch_combo,high,1.03
R0011,Norte Daily 0011,Z06,Tetuán,grocery_convenience,1,5.9,1.6,small,false,none,low,0.86
R0012,Morata Oven 0012,Z14,Moratalaz,pizza,2,13.8,3.2,small,false,random_flash,medium,1.13
R0013,Villa Cookie 0013,Z18,Villa de Vallecas,dessert,3,7.6,1.7,small,false,none,low,0.99
R0014,Villa Wrap 0014,Z18,Villa de Vallecas,kebab,1,10.1,2.0,small,true,healthy_lunch,low,0.84
R0015,Metropolitano Corner 0015,Z20,San Blas-Canillejas,fast_food,2,11.8,1.7,medium,false,none,high,0.97
R0016,Monte Doner 0016,Z08,Fuencarral-El Pardo,kebab,3,9.0,2.0,small,false,none,medium,0.72
R0017,Verde Zen 0017,Z17,Villaverde,sushi,1,20.1,3.6,small,true,healthy_lunch,low,1.2
R0018,Golden Cookie 0018,Z04,Salamanca,dessert,1,8.1,1.6,small,false,none,medium,1.37
R0019,Chamberi Taberna 0019,Z07,Chamberí,spanish_tapas,3,18.9,2.9,medium,false,none,medium,1.21
R0020,Metropolitano Corner 0020,Z20,San Blas-Canillejas,fast_food,2,11.1,1.8,medium,true,weekend_discount,high,0.92
